Gender,Total Awarded,12/04/2019 9:06 AM [1],Check in time,12/02/2019 9:05 AM [1],Check in time,11/25/2019 9:02 AM [1],Check in time,11/20/2019 9:07 AM [1],Check in time,11/18/2019 9:01 AM [1],Check in time,11/13/2019 9:03 AM [1],Check in time,11/06/2019 9:00 AM [1],Check in time,11/04/2019 9:00 AM [1],Check in time,10/30/2019 9:02 AM [1],Check in time
F,9,1,12/4/19 9:17,1,12/2/19 9:05,1,11/25/19 9:04,1,11/20/19 9:09,1,11/18/19 9:01,1,11/13/19 9:05,1,11/6/19 9:02,1,11/4/19 9:02,1,10/30/19 9:03
F,9,1,12/4/19 9:08,1,12/2/19 9:06,1,11/25/19 9:03,1,11/20/19 9:08,1,11/18/19 9:04,1,11/13/19 9:04,1,11/6/19 9:03,1,11/4/19 9:02,1,10/30/19 9:05
M,9,1,12/4/19 9:11,1,12/2/19 9:05,1,11/25/19 9:06,1,11/20/19 9:08,1,11/18/19 9:02,1,11/13/19 9:03,1,11/6/19 9:01,1,11/4/19 9:04,1,10/30/19 9:03
F,8,,,1,12/2/19 9:07,1,11/25/19 9:10,1,11/20/19 9:08,1,11/18/19 9:10,1,11/13/19 9:03,1,11/6/19 9:01,1,11/4/19 9:00,1,10/30/19 9:10
M,9,1,12/4/19 9:08,1,12/2/19 9:05,1,11/25/19 9:11,1,11/20/19 9:07,1,11/18/19 9:04,1,11/13/19 9:09,1,11/6/19 9:02,1,11/4/19 9:01,1,10/30/19 9:05
F,9,1,12/4/19 9:10,1,12/2/19 9:06,1,11/25/19 9:04,1,11/20/19 9:07,1,11/18/19 9:01,1,11/13/19 9:03,1,11/6/19 9:01,1,11/4/19 9:00,1,10/30/19 9:04
M,8,1,12/4/19 9:08,1,12/2/19 9:05,1,11/25/19 9:03,1,11/20/19 9:08,1,11/18/19 9:02,,,1,11/6/19 9:01,1,11/4/19 9:00,1,10/30/19 9:03
F,9,1,12/4/19 9:06,1,12/2/19 9:07,1,11/25/19 9:05,1,11/20/19 9:07,1,11/18/19 9:01,1,11/13/19 9:09,1,11/6/19 9:01,1,11/4/19 9:00,1,10/30/19 9:05
F,9,1,12/4/19 9:16,1,12/2/19 9:05,1,11/25/19 9:02,1,11/20/19 9:07,1,11/18/19 9:12,1,11/13/19 9:07,1,11/6/19 9:01,1,11/4/19 9:02,1,10/30/19 9:03
F,6,,,1,12/2/19 9:06,,,,,1,11/18/19 9:05,1,11/13/19 9:09,1,11/6/19 9:02,1,11/4/19 9:02,1,10/30/19 9:03
F,5,,,1,12/2/19 9:06,1,11/25/19 9:11,1,11/20/19 9:08,,,1,11/13/19 9:03,,,1,11/4/19 9:00,,
M,6,1,12/4/19 9:16,,,1,11/25/19 9:05,1,11/20/19 9:07,,,1,11/13/19 9:13,1,11/6/19 9:01,1,11/4/19 9:00,,
F,9,1,12/4/19 9:06,1,12/2/19 9:06,1,11/25/19 9:05,1,11/20/19 9:07,1,11/18/19 9:01,1,11/13/19 9:04,1,11/6/19 9:01,1,11/4/19 9:03,1,10/30/19 9:05
F,9,1,12/4/19 9:12,1,12/2/19 9:05,1,11/25/19 9:16,1,11/20/19 9:10,1,11/18/19 9:06,1,11/13/19 9:03,1,11/6/19 9:01,1,11/4/19 9:00,1,10/30/19 9:03
F,9,1,12/4/19 9:07,1,12/2/19 9:09,1,11/25/19 9:03,1,11/20/19 9:08,1,11/18/19 9:01,1,11/13/19 9:10,1,11/6/19 9:01,1,11/4/19 9:01,1,10/30/19 9:07
